test_line,null_predicted,alt_predicted
1,1,0
2,1,1
3,0,1
4,0,0
5,0,1
6,0,0
7,0,0
8,0,0
9,1,1
10,0,0
11,1,0
12,0,1
13,1,0
14,0,1
15,0,0
16,0,0
17,0,0
18,0,0
19,0,1
20,0,1
21,1,1
22,0,1
23,0,1
24,0,1
25,0,0
26,0,0
27,0,1
28,1,0
29,0,0
30,0,0
31,0,1
32,1,0
33,1,0
34,0,1
35,0,0
36,0,1
37,0,1
38,0,1
39,1,0
40,0,1
41,0,1
42,0,1
43,1,1
44,1,1
45,0,0
46,0,0
47,0,0
48,1,0
49,1,1
50,1,1
51,1,1
52,1,1
53,0,0
54,1,1
55,1,1
56,0,0
57,1,0
58,1,0
59,1,1
60,1,0
61,0,1
62,1,1
63,0,1
64,1,1
65,0,1
66,0,1
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,1
73,1,0
74,0,0
75,0,1
76,0,1
77,0,1
78,0,1
79,0,0
80,1,0
81,0,1
82,0,0
83,1,0
84,0,1
85,0,0
86,1,0
87,0,0
88,1,0
89,1,0
90,1,0
91,0,1
92,0,1
93,1,0
94,0,1
95,0,1
96,1,1
97,0,1
98,1,1
99,1,0
100,0,0
101,1,0
102,1,1
103,1,0
104,1,1
105,0,1
106,1,1
107,1,1
108,1,0
109,0,1
110,1,0
111,0,0
112,0,0
113,1,1
114,0,1
115,1,1
116,0,1
117,0,0
118,0,1
119,1,0
120,1,0
121,0,0
122,1,1
123,1,0
124,1,1
125,1,1
126,0,1
127,0,0
128,1,0
129,1,1
130,1,1
131,1,0
132,1,0
133,1,1
134,1,0
135,0,0
136,0,0
137,1,0
138,1,0
139,0,0
140,0,0
141,1,1
142,1,1
143,0,0
144,0,0
145,1,1
146,1,1
147,1,0
148,0,0
149,1,0
150,1,1
151,1,0
152,0,0
153,0,0
154,1,0
155,0,1
156,0,1
157,0,0
158,0,1
159,1,1
160,0,1
161,0,1
162,0,1
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,1,0
169,0,0
